family,file,variables,clauses,solver,result,time,rank
medium_suite,easy_3sat_v010_c0042.cnf,10,42,DPLL,SAT,0.0002,2
medium_suite,easy_3sat_v010_c0042.cnf,10,42,CDCL,SAT,0.0001,1
medium_suite,easy_3sat_v010_c0042.cnf,10,42,CoBD-SAT,SAT,0.0004,4
medium_suite,easy_3sat_v010_c0042.cnf,10,42,BB-CDCL,SAT,0.0099,6
medium_suite,easy_3sat_v010_c0042.cnf,10,42,LA-CDCL,SAT,0.0015,5
medium_suite,easy_3sat_v010_c0042.cnf,10,42,CGPM-SAT,SAT,0.0004,3
medium_suite,easy_3sat_v012_c0050.cnf,12,50,DPLL,UNSAT,0.0003,1
medium_suite,easy_3sat_v012_c0050.cnf,12,50,CDCL,TIMEOUT,30.0000,-1
medium_suite,easy_3sat_v012_c0050.cnf,12,50,CoBD-SAT,UNSAT,0.0008,3
medium_suite,easy_3sat_v012_c0050.cnf,12,50,BB-CDCL,UNSAT,0.0003,2
medium_suite,easy_3sat_v012_c0050.cnf,12,50,LA-CDCL,UNSAT,0.0019,5
medium_suite,easy_3sat_v012_c0050.cnf,12,50,CGPM-SAT,UNSAT,0.0008,4
medium_suite,easy_3sat_v014_c0058.cnf,14,58,DPLL,UNSAT,0.0009,1
medium_suite,easy_3sat_v014_c0058.cnf,14,58,CDCL,UNSAT,0.1505,6
medium_suite,easy_3sat_v014_c0058.cnf,14,58,CoBD-SAT,UNSAT,0.0015,3
medium_suite,easy_3sat_v014_c0058.cnf,14,58,BB-CDCL,UNSAT,0.0009,2
medium_suite,easy_3sat_v014_c0058.cnf,14,58,LA-CDCL,UNSAT,0.0069,5
medium_suite,easy_3sat_v014_c0058.cnf,14,58,CGPM-SAT,UNSAT,0.0017,4
medium_suite,easy_3sat_v016_c0067.cnf,16,67,DPLL,UNSAT,0.0010,1
medium_suite,easy_3sat_v016_c0067.cnf,16,67,CDCL,UNSAT,0.0196,6
medium_suite,easy_3sat_v016_c0067.cnf,16,67,CoBD-SAT,UNSAT,0.0016,3
medium_suite,easy_3sat_v016_c0067.cnf,16,67,BB-CDCL,UNSAT,0.0010,2
medium_suite,easy_3sat_v016_c0067.cnf,16,67,LA-CDCL,UNSAT,0.0032,5
medium_suite,easy_3sat_v016_c0067.cnf,16,67,CGPM-SAT,UNSAT,0.0022,4
medium_suite,easy_3sat_v018_c0075.cnf,18,75,DPLL,SAT,0.0015,2
medium_suite,easy_3sat_v018_c0075.cnf,18,75,CDCL,TIMEOUT,30.0000,-1
medium_suite,easy_3sat_v018_c0075.cnf,18,75,CoBD-SAT,SAT,0.0024,3
medium_suite,easy_3sat_v018_c0075.cnf,18,75,BB-CDCL,SAT,0.1695,5
medium_suite,easy_3sat_v018_c0075.cnf,18,75,LA-CDCL,SAT,0.0030,4
medium_suite,easy_3sat_v018_c0075.cnf,18,75,CGPM-SAT,SAT,0.0012,1
medium_suite,easy_3sat_v020_c0084.cnf,20,84,DPLL,SAT,0.0024,2
medium_suite,easy_3sat_v020_c0084.cnf,20,84,CDCL,UNSAT,0.3207,6
medium_suite,easy_3sat_v020_c0084.cnf,20,84,CoBD-SAT,SAT,0.0032,3
medium_suite,easy_3sat_v020_c0084.cnf,20,84,BB-CDCL,SAT,0.1605,5
medium_suite,easy_3sat_v020_c0084.cnf,20,84,LA-CDCL,SAT,0.0041,4
medium_suite,easy_3sat_v020_c0084.cnf,20,84,CGPM-SAT,SAT,0.0016,1
medium_suite,easy_3sat_v022_c0092.cnf,22,92,DPLL,UNSAT,0.0042,1
medium_suite,easy_3sat_v022_c0092.cnf,22,92,CDCL,UNSAT,2.0561,6
medium_suite,easy_3sat_v022_c0092.cnf,22,92,CoBD-SAT,UNSAT,0.0055,4
medium_suite,easy_3sat_v022_c0092.cnf,22,92,BB-CDCL,UNSAT,0.0043,2
medium_suite,easy_3sat_v022_c0092.cnf,22,92,LA-CDCL,UNSAT,0.0110,5
medium_suite,easy_3sat_v022_c0092.cnf,22,92,CGPM-SAT,UNSAT,0.0044,3
medium_suite,easy_3sat_v024_c0100.cnf,24,100,DPLL,SAT,0.0007,1
medium_suite,easy_3sat_v024_c0100.cnf,24,100,CDCL,SAT,0.1667,5
medium_suite,easy_3sat_v024_c0100.cnf,24,100,CoBD-SAT,SAT,0.0026,3
medium_suite,easy_3sat_v024_c0100.cnf,24,100,BB-CDCL,SAT,0.2049,6
medium_suite,easy_3sat_v024_c0100.cnf,24,100,LA-CDCL,SAT,0.0123,4
medium_suite,easy_3sat_v024_c0100.cnf,24,100,CGPM-SAT,SAT,0.0020,2
medium_suite,easy_3sat_v026_c0109.cnf,26,109,DPLL,UNSAT,0.0052,1
medium_suite,easy_3sat_v026_c0109.cnf,26,109,CDCL,UNSAT,0.8564,6
medium_suite,easy_3sat_v026_c0109.cnf,26,109,CoBD-SAT,UNSAT,0.0075,4
medium_suite,easy_3sat_v026_c0109.cnf,26,109,BB-CDCL,UNSAT,0.0052,2
medium_suite,easy_3sat_v026_c0109.cnf,26,109,LA-CDCL,UNSAT,0.0189,5
medium_suite,easy_3sat_v026_c0109.cnf,26,109,CGPM-SAT,UNSAT,0.0056,3
medium_suite,easy_3sat_v028_c0117.cnf,28,117,DPLL,SAT,0.0174,3
medium_suite,easy_3sat_v028_c0117.cnf,28,117,CDCL,TIMEOUT,30.0000,-1
medium_suite,easy_3sat_v028_c0117.cnf,28,117,CoBD-SAT,SAT,0.0194,4
medium_suite,easy_3sat_v028_c0117.cnf,28,117,BB-CDCL,SAT,0.2368,5
medium_suite,easy_3sat_v028_c0117.cnf,28,117,LA-CDCL,SAT,0.0142,2
medium_suite,easy_3sat_v028_c0117.cnf,28,117,CGPM-SAT,SAT,0.0137,1
medium_suite,easy_3sat_v030_c0126.cnf,30,126,DPLL,SAT,0.0011,1
medium_suite,easy_3sat_v030_c0126.cnf,30,126,CDCL,SAT,0.0779,5
medium_suite,easy_3sat_v030_c0126.cnf,30,126,CoBD-SAT,SAT,0.0039,3
medium_suite,easy_3sat_v030_c0126.cnf,30,126,BB-CDCL,SAT,0.3498,6
medium_suite,easy_3sat_v030_c0126.cnf,30,126,LA-CDCL,SAT,0.0080,4
medium_suite,easy_3sat_v030_c0126.cnf,30,126,CGPM-SAT,SAT,0.0034,2
medium_suite,hard_3sat_v090_c0384.cnf,90,384,DPLL,SAT,0.9962,2
medium_suite,hard_3sat_v090_c0384.cnf,90,384,CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v090_c0384.cnf,90,384,CoBD-SAT,SAT,1.0607,3
medium_suite,hard_3sat_v090_c0384.cnf,90,384,BB-CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v090_c0384.cnf,90,384,LA-CDCL,SAT,2.6737,4
medium_suite,hard_3sat_v090_c0384.cnf,90,384,CGPM-SAT,SAT,0.8225,1
medium_suite,hard_3sat_v093_c0397.cnf,93,397,DPLL,SAT,10.7867,2
medium_suite,hard_3sat_v093_c0397.cnf,93,397,CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v093_c0397.cnf,93,397,CoBD-SAT,SAT,10.8735,3
medium_suite,hard_3sat_v093_c0397.cnf,93,397,BB-CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v093_c0397.cnf,93,397,LA-CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v093_c0397.cnf,93,397,CGPM-SAT,SAT,0.7480,1
medium_suite,hard_3sat_v096_c0409.cnf,96,409,DPLL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v096_c0409.cnf,96,409,CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v096_c0409.cnf,96,409,CoBD-SAT,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v096_c0409.cnf,96,409,BB-CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v096_c0409.cnf,96,409,LA-CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v096_c0409.cnf,96,409,CGPM-SAT,UNSAT,3.9783,1
medium_suite,hard_3sat_v099_c0422.cnf,99,422,DPLL,SAT,28.4766,3
medium_suite,hard_3sat_v099_c0422.cnf,99,422,CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v099_c0422.cnf,99,422,CoBD-SAT,SAT,28.4132,2
medium_suite,hard_3sat_v099_c0422.cnf,99,422,BB-CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v099_c0422.cnf,99,422,LA-CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v099_c0422.cnf,99,422,CGPM-SAT,SAT,1.4183,1
medium_suite,hard_3sat_v102_c0435.cnf,102,435,DPLL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v102_c0435.cnf,102,435,CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v102_c0435.cnf,102,435,CoBD-SAT,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v102_c0435.cnf,102,435,BB-CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v102_c0435.cnf,102,435,LA-CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v102_c0435.cnf,102,435,CGPM-SAT,UNSAT,4.3292,1
medium_suite,hard_3sat_v105_c0448.cnf,105,448,DPLL,SAT,3.4567,3
medium_suite,hard_3sat_v105_c0448.cnf,105,448,CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v105_c0448.cnf,105,448,CoBD-SAT,SAT,3.4810,4
medium_suite,hard_3sat_v105_c0448.cnf,105,448,BB-CDCL,SAT,24.5844,5
medium_suite,hard_3sat_v105_c0448.cnf,105,448,LA-CDCL,SAT,0.3047,2
medium_suite,hard_3sat_v105_c0448.cnf,105,448,CGPM-SAT,SAT,0.1440,1
medium_suite,hard_3sat_v108_c0461.cnf,108,461,DPLL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v108_c0461.cnf,108,461,CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v108_c0461.cnf,108,461,CoBD-SAT,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v108_c0461.cnf,108,461,BB-CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v108_c0461.cnf,108,461,LA-CDCL,SAT,0.2148,1
medium_suite,hard_3sat_v108_c0461.cnf,108,461,CGPM-SAT,SAT,10.5277,2
medium_suite,hard_3sat_v111_c0473.cnf,111,473,DPLL,SAT,1.9006,3
medium_suite,hard_3sat_v111_c0473.cnf,111,473,CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v111_c0473.cnf,111,473,CoBD-SAT,SAT,1.9383,4
medium_suite,hard_3sat_v111_c0473.cnf,111,473,BB-CDCL,SAT,11.9630,5
medium_suite,hard_3sat_v111_c0473.cnf,111,473,LA-CDCL,SAT,0.4779,2
medium_suite,hard_3sat_v111_c0473.cnf,111,473,CGPM-SAT,SAT,0.0522,1
medium_suite,hard_3sat_v114_c0486.cnf,114,486,DPLL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v114_c0486.cnf,114,486,CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v114_c0486.cnf,114,486,CoBD-SAT,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v114_c0486.cnf,114,486,BB-CDCL,SAT,18.1236,3
medium_suite,hard_3sat_v114_c0486.cnf,114,486,LA-CDCL,SAT,1.2913,1
medium_suite,hard_3sat_v114_c0486.cnf,114,486,CGPM-SAT,SAT,1.7931,2
medium_suite,hard_3sat_v117_c0499.cnf,117,499,DPLL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v117_c0499.cnf,117,499,CDCL,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v117_c0499.cnf,117,499,CoBD-SAT,TIMEOUT,30.0000,-1
medium_suite,hard_3sat_v117_c0499.cnf,117,499,BB-CDCL,TIMEOUT,30.0000,-1
